phase,task,model,arm,seed,reused,first8_step_loss,last8_step_loss,first8_preclip_grad_norm,clip_step_fraction,dev_primary_if_available,test_primary,training_metadata,training_metadata_sha256,dev_summary_if_available,dev_summary_sha256_if_available
core,cluener,qwen25_05b_base,hidden,6100,False,0.36585524849942885,0.12647086032666266,2.1252303272485733,0.15625,56.967213114754095,55.96837944664031,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_s6100/TRAINING.json,4426c423eb18855bd9b505a8ea56644edd7704bcb8cfac0dbc00829ef7170225,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_s6100/dev/SUMMARY.json,4b868b8cf332398ab77e3fc0516a6d13724dda8cb70808b2aeabe1b89e1704e3
core,cluener,qwen25_05b_base,hidden,6101,False,0.38574153254012344,0.11050219561730046,2.841196283698082,0.140625,56.646216768916155,56.405384006334124,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_s6101/TRAINING.json,6ff36d59c20b3619907f83805728d55090c42a5506bb1025a86f378d1aa70771,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_s6101/dev/SUMMARY.json,5a573533395d4141726d5e5ae02f4ee3bbb7ea919b1d362ccae8b18005ed4103
core,cluener,qwen25_05b_base,hidden,6102,False,0.366309339471627,0.12040633064316353,2.2399872094392776,0.171875,57.3469387755102,57.4203821656051,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_s6102/TRAINING.json,e48cb2556744ec5503fc181b1e4d18f9d16e0a48a136b89d89a7bac6ffc55430,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_s6102/dev/SUMMARY.json,c23c4f22a55b74337f613555909eef49ed4af7b2d0416bea468c901ce586b934
core,cluener,qwen25_05b_base,hidden_budget,6100,False,0.36561737276497297,0.12684684405394364,2.154168948531151,0.140625,56.61538461538461,56.145339652448655,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_budget_s6100/TRAINING.json,606490c83e4d227f3dbd3b57b2bcee797304d460d2019b9cb07f3aab5c477bff,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_budget_s6100/dev/SUMMARY.json,c60b1c1215e0b1e6b06e4ee34624787f4762faefc3f56de21b4ff87235db7c2e
core,cluener,qwen25_05b_base,hidden_budget,6101,False,0.38430968529428355,0.10967908392194659,2.6785883009433746,0.15625,56.49948822927328,56.44346178142767,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_budget_s6101/TRAINING.json,5470479efe2f9785404587cc3f4ddcf2f54d6e1870613f331a5f63813a6b0b37,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_budget_s6101/dev/SUMMARY.json,a0060fceb49292bc67255ea81276bce6de900175c2ce8e944d6618f427cc47ee
core,cluener,qwen25_05b_base,hidden_budget,6102,False,0.36481505900155753,0.12060998520610156,2.193294256925583,0.1875,56.622851365015165,56.943342326614825,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_budget_s6102/TRAINING.json,7aa048cb5a929f75ed18a0b012248c3d6de6371182eb723b5c97e72dc3d477c2,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_budget_s6102/dev/SUMMARY.json,fe139e244f29905395a43f199ab12c75874ddabbb670b61be6ba5145c8cbf507
core,cluener,qwen25_05b_base,hidden_input,6100,False,0.3608937929093372,0.12440568897000048,4.655696749687195,0.96875,55.98335067637877,57.340186315451334,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_input_s6100/TRAINING.json,c1d288c9b6b3f3808aaffb0f64c4103deef9686205a5c2bc2d6ab4f46f5de5fb,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_input_s6100/dev/SUMMARY.json,cc9f28009562356a1542365617a3222083e6cdb9848d14368ce0f0dc7eed0a26
core,cluener,qwen25_05b_base,hidden_input,6101,False,0.37437353597488254,0.10699226140786777,4.975606024265289,0.9375,56.70103092783505,57.56082048020353,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_input_s6101/TRAINING.json,97cd0b9c99a12ed4d75f31d02eb8b64574561f816b30b384e4c4efec8cba7eeb,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_input_s6101/dev/SUMMARY.json,13efc6620c08254f49b74d89177dfbdfe29678cfd1e81084277a85b5eb390b88
core,cluener,qwen25_05b_base,hidden_input,6102,False,0.3578759738593362,0.11661114042726695,4.64608559012413,0.90625,57.201225740551585,58.40229153405474,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_input_s6102/TRAINING.json,9bc5140465191b1036d7002b5b158486cfd0917fe42d52f13cc58715588ca3c7,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_input_s6102/dev/SUMMARY.json,efd240abdeb296ff372fe4c43e18a7d2e80ee630dc7ba424ab2cbdc6cf9f2c4b
core,cluener,qwen25_05b_base,hidden_output,6100,False,0.36008945462526754,0.1243799678486539,2.777333691716194,0.265625,58.13008130081301,56.72923958001909,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/checkpoints/cluener_qwen25_05b_base_hidden_output_s6100/TRAINING.json,ecb48cf057b3e58dfa186c6f86e057f88ddc87107d3f2569f615904a74683d74,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/model_architecture_14h_20260917/core/evaluations/cluener_qwen25_05b_base_hidden_output_s6100/dev/SUMMARY.json,7897fe7f0ba81dd6a7c22ebc97bc5b425ce60b156688ae5755eb0d7e894fe431
